kgrowth,year
,1950
,1951
,1952
,1953
,1954
,1955
,1956
,1957
,1958
,1959
1.8956538,1960
1.8642229,1961
1.8624382,1962
1.8594989,1963
1.9371628,1964
2.0249882,1965
2.1491122,1966
2.2649136,1967
2.41874,1968
2.5049546,1969
2.5637729,1970
2.5661211,1971
2.5831757,1972
2.6074224,1973
2.5374012,1974
2.3504264,1975
2.17658,1976
2.0805285,1977
2.0215931,1978
1.9776804,1979
1.9386921,1980
1.9195045,1981
1.786538,1982
1.6537933,1983
1.6644123,1984
1.7704043,1985
1.8292272,1986
1.8285244,1987
1.7701728,1988
1.6925853,1989
1.651704,1990
1.5321165,1991
1.4726751,1992
1.4112676,1993
1.2889141,1994
1.1757896,1995
1.1116875,1996
1.0737127,1997
1.080397,1998
1.1223736,1999
1.2101868,2000
1.3316115,2001
1.4236392,2002
1.4957149,2003
1.5619498,2004
1.5946205,2005
1.6080881,2006
1.5750493,2007
1.4572233,2008
1.2353343,2009
1.0140991,2010
.85920089,2011
.75463158,2012
.65817535,2013
.55988938,2014
.48069039,2015
.38311186,2016
,2017
,2018
