cbr,year,tfr
23.7,1960,3.654
23.3,1961,3.62
22.4,1962,3.461
21.7,1963,3.319
21.1,1964,3.19
19.4,1965,2.913
18.4,1966,2.721
17.8,1967,2.558
17.6,1968,2.464
17.9,1969,2.456
18.4,1970,2.48
17.2,1971,2.266
15.6,1972,2.01
14.8,1973,1.879
14.8,1974,1.835
14.6,1975,1.774
14.6,1976,1.738
15.1,1977,1.79
15,1978,1.76
15.6,1979,1.808
15.9,1980,1.8395
15.8,1981,1.812
15.9,1982,1.8275
15.6,1983,1.799
15.6,1984,1.8065
15.8,1985,1.844
15.6,1986,1.8375
15.7,1987,1.872
16,1988,1.934
16.4,1989,2.014
16.7,1990,2.081
16.2,1991,2.0625
15.8,1992,2.046
15.4,1993,2.0195
15,1994,2.0015
14.6,1995,1.978
14.4,1996,1.976
14.2,1997,1.971
14.3,1998,1.999
14.2,1999,2.0075
14.4,2000,2.056
14.1,2001,2.0305
14,2002,2.0205
14.1,2003,2.0475
14,2004,2.0515
14,2005,2.057
14.3,2006,2.108
14.3,2007,2.12
14,2008,2.072
13.5,2009,2.002
13,2010,1.931
12.7,2011,1.8945
12.6,2012,1.8805
12.4,2013,1.8575
12.5,2014,1.8625
12.4,2015,1.843
