pop_lsc,year,pop_lslsc,pop_lhc,pop_lhlhc,pop_lpc
7.3687739,1920,19.917707,2.1934774,2.3650868,16.386662
9.7669172,1925,23.396748,2.8457925,3.1582482,17.054464
12.398437,1930,25.140955,3.3685575,3.7500904,17.210442
16.60605,1935,27.212357,4.0532823,4.3318939,16.704346
20.804596,1940,27.33898,4.6545043,4.9187889,16.338816
26.149212,1945,24.204428,5.2552848,5.7986484,15.744275
28.271463,1950,18.60133,7.3112411,6.8041248,18.692123
32.194309,1955,19.476151,8.590023,7.5291643,17.314524
38.737991,1960,20.394093,10.072325,8.6122923,15.985758
48.542793,1965,23.879751,12.524097,10.457464,12.252499
58.851738,1970,25.066757,15.7328,13.151562,8.8881941
65.492889,1975,24.925102,21.67444,18.614256,5.5439405
76.85791,1980,21.290064,27.386772,21.652634,3.1304655
65.42794,1985,22.134359,34.425709,30.441816,5.130157
60.389767,1990,18.687906,39.90633,38.395145,6.4960747
67.268257,1995,21.293791,40.737488,42.517067,2.6964285
74.738518,2000,12.25822,45.346882,50.479637,2.9491854
69.8862,2005,21.793217,49.905579,52.900124,3.0736375
72.180817,2010,14.820499,57.644295,59.044186,4.2891989
