estabs,year2
4.153792,1977
4.222683,1978
4.376325,1979
4.398753,1980
4.341224,1981
4.470714,1982
4.55683,1983
4.722769,1984
4.876912,1985
5.010299,1986
5.165561,1987
5.221222,1988
5.280188,1989
5.408174,1990
5.516902,1991
5.570945,1992
5.625565,1993
5.7221,1994
5.836609,1995
5.931141,1996
6.041547,1997
6.108324,1998
6.173747,1999
6.218784,2000
6.30853,2001
6.352721,2002
6.41502,2003
6.497414,2004
6.633143,2005
6.736378,2006
6.842829,2007
6.827573,2008
6.651272,2009
6.578147,2010
6.55392,2011
6.625111,2012
6.674357,2013
6.721326,2014
