priceindex76,year,priceindex75,priceindex82,priceindex65,priceindex13,priceindex19,priceindex21,priceindex49
100,1997,100,100,100,100,100,100,100
103.15391,1998,105.33025,103.21681,104.03365,95.236481,76.218323,99.844345,100.53088
106.24006,1999,110.56436,108.82462,108.53493,91.48201,59.603416,102.37664,100.87282
109.90071,2000,114.54008,114.0732,114.03379,86.855942,47.515656,102.06376,100.29472
115.67674,2001,117.95045,118.03384,116.19975,83.590134,37.996647,102.37901,100.72924
119.53922,2002,124.99005,121.09264,117.83144,81.933815,34.915459,97.666809,100.70468
123.4282,2003,129.06691,124.82373,119.7889,79.697441,31.349644,95.386559,100.62627
127.08886,2004,134.80667,127.93322,125.42385,78.488998,28.596235,90.291946,99.726059
130.89388,2005,140.21486,132.192,129.53569,77.908951,26.505154,83.489906,97.673431
133.98297,2006,147.02731,136.69673,134.60164,76.353081,24.041283,74.496109,96.44355
139.41724,2007,153.61264,142.18231,141.03433,74.99736,21.659115,72.539009,95.143768
142.14394,2008,159.10869,145.29478,142.76303,73.261734,19.87418,67.816536,94.258675
147.3101,2009,165.79349,149.06462,144.78275,75.527565,19.315386,79.01078,94.460815
150.58334,2010,170.27654,148.59357,145.76439,74.020035,18.801983,73.581947,93.826988
152.51016,2011,175.09119,148.74562,147.19484,73.075935,18.150282,68.859482,93.468979
155.10429,2012,181.05478,153.2742,149.18414,74.42939,17.946119,71.81369,93.560608
156.7085,2013,187.53896,155.61751,151.38339,75.813057,18.096392,72.639351,94.272842
158.51747,2014,193.04495,158.68823,152.86308,77.52829,18.11165,75.772919,94.282288
161.15431,2015,199.59712,164.31691,156.7114,80.084137,18.184469,83.522301,92.839867
164.92104,2016,206.27031,170.64619,159.70117,80.612083,18.048103,85.045624,92.042625
