gdppw2015,pop2015,label
1.9547046,.703825,
1.4890614,.154925,
1.3476738,.119356,
2.1882298,.880167,
1.9791442,.904587,
1.6251076,.154872,
1.8850147,.829835,
1.6859031,.125955,
1.9663403,.259885,
1.6307198,.094073,
2.2174106,.356874,
1.5886533,.115916,
1.8017961,.231497,
1.5283225,.442316,
1.7009498,.199016,
2.3660307,5.614323,
1.901656,.275209,
1.314752,.154255,
1.7193438,.583632,
2.4363089,1.943299,
1.8534712,.8745889999999999,
2.3723283,2.785874,
1.4596063,.153414,
1.8710306,.214914,
2.2200532,.825478,
1.7553906,.134878,
1.1915439,.106179,
2.5214353,.405427,
1.7189269,.123373,
1.7735304,.208351,
1.9657679,.170388,
2.2427108,.166885,
1.6527236,.247219,
2.2387667,1.143772,
2.3197861,.126597,
1.4806206,.181605,
2.2275476,.190345,
1.6765324,.164308,
1.7621518,.085763,
1.8449175,.664422,
3.0858312,4.732161,
2.6236479,.313333,
1.7284591,.165732,
1.7508739,.254183,
3.9508643,.945438,"Bridgeport, CT"
1.1797696,.420392,
1.4355042,.114806,
1.9608673,1.13636,
1.2615122,.155792,
2.0408623,.216167,
2.2042608,.110382,
1.6777446,.403923,
1.550253,.679513,
1.624676,.097929,
1.5735643,.126685,
2.423435,.054522,
3.0220048,.081624,
2.4198649,.263885,
1.3132145,.152892,
1.916768,.237252,
2.5479393,.222878,
1.9817154,.727689,
2.3963265,2.380314,
2.1121881,.226968,
1.8985763,.544559,
2.1032598,.096389,
2.5069025,9.554598,Chicago
1.4179881,.224241,
2.2946939,2.149449,
1.9261018,.278353,
1.4670513,.119705,
2.4120066,2.063598,
1.4637743,.147326,
1.5795101,.242905,
1.8467388,.686908,
1.6710013,.172717,
1.913487,.800495,
2.1091344,.314005,
2.5444896,.080217,
2.3386631,1.994536,
2.1575196,.448108,
2.0146394,.086316,
2.1289387,.258042,
1.3608379,.10053,
2.7737482,6.95433,
1.9117789,.142952,
1.4873179,.079728,
1.4910322,.200111,
1.9276289,.38303,
2.0086818,.800836,
1.4474057,.153084,
2.360219,.10835,
1.1101675,.609939,
2.6039588,2.69212,
2.7514338,.611549,
2.383997,4.296611,
1.5689311,.148095,
1.781757,.171987,
1.9063561,.09637,
1.7098185,.280218,
3.0493753,.54271,
1.3803332,.166314,
1.7371799,.165024,
1.3543229,.179091,
1.7897612,.151585,
2.6991808,.201971,
1.7320213,.08777,
1.5662113,.8366980000000001,
2.3066809,.063091,
1.6076277,.278443,
1.6655998,.358337,
2.0636544,.315162,
2.1966727,.228291,
2.5114682,.123785,
2.2733767,.377939,
1.9794434,.501653,
1.4771314,.137682,
1.4263537,.412895,
1.6515166,.20703,
1.408659,.147639,
1.5715046,.101759,
1.6471068,.324122,
1.6509222,.279592,
1.920611,.427183,
1.6618327,.965974,
1.263746,.103531,
1.7036922,.273377,
1.76724,.190761,
1.0855908,.101714,
1.5369813,.127345,
1.5740924,.124456,
1.773082,.101842,
1.7736769,.084755,
1.4331115,.148255,
1.9739438,1.027703,
1.3213074,.083599,
1.7102511,.082344,
1.5188043,.27767,
2.0564618,.314531,
2.0883143,.746593,
1.7002729,.175354,
1.826437,.862463,
1.922991,.386144,
1.4150881,.26007,
1.2796488,.127049,
1.6559716,.150269,
2.3328812,.560849,
2.3326948,.130649,
2.6768682,1.214295,
1.686869,.148656,
1.5136853,.362896,
2.0283506,.203022,
2.1051564,.082311,
1.2392783,.139377,
1.4914601,.097322,
2.226984,.211348,
3.0484266,6.49018,
1.9371492,.363325,
2.2847178,.441086,
1.8135613,.138266,
2.481652,1.971274,
1.9399314,.164357,
1.7114263,.104691,
1.6053395,.159741,
2.0898378,.577564,
1.8573039,.130225,
1.8184004,1.419127,
2.3471556,.187589,
1.4063245,.161188,
1.8190246,.150866,
1.4687017,.201091,
1.3236771,.137732,
1.5787069,.126764,
1.5994778,.176141,
1.8307426,.334017,
1.3565748,.111375,
2.1946697,2.071133,
1.8470902,.274295,
1.9495875,.424858,
1.6398213,.308079,
1.2853365,.180445,
1.8530136,.857585,
2.503371,.082982,
1.7510214,.136749,
1.9911134,.484974,
1.7386805,.211697,
2.6630139,.203883,
1,.203361,
1.3359061,.634638,
1.9368056,.53332,
1.6664438,.470458,
1.3750597,.266673,
1.4007126,.213676,
1.9296389,2.069681,
1.2646649,.116585,
1.8332163,.131183,
1.3285722,.136359,
1.4507408,.062196,
1.396111,.10744,
2.1557119,.494189,
2.0936828,.10504,
2.0143676,.318945,
2.1161103,.729135,
1.3730241,.131364,
2.0850098,.217481,
1.7068305,.102133,
2.8499718,13.26222,Los Angeles
2.2329397,1.269702,
1.6339387,.305644,
1.4656969,.257835,
1.7690685,.23045,
1.6403495,.154548,
2.350626,.633787,
2.2370718,.405184,
1.3460262,.098091,
1.7238704,.098478,
1.5731714,.121942,
1.1256267,.831073,
1.5197923,.210287,
2.1682799,1.34323,
1.3512671,.266353,
2.0176599,5.929819,
1.5149176,.111444,
2.3703783,.083427,
7.1090622,.16129,"Midland, TX"
2.3529708,1.572245,
2.4200408,3.495176,
1.5932325,.112684,
1.9758621,.415123,
1.5162634,.5319970000000001,
1.6896193,.178864,
1.1973188,.149824,
1.9258974,.373141,
2.1997406,.137251,
1.582479,.115713,
1.8096976,.120365,
1.3425853,.117074,
1.4360685,.172344,
1.6926258,.417668,
2.6386263,.141667,
1.9992714,.348777,
2.4613459,1.792649,
1.8385969,.127534,
1.8328309,.861277,
2.4089243,1.251849,
3.0493526,20.092883,New York
1.7607616,.155233,
1.6051146,.748708,
2.140543,.273676,
1.162913,.339167,
1.985178,.095344,
2.6061854,.153904,
1.4875238,.632293,
2.1849248,1.336767,
1.6728067,.265851,
2.4126043,.904421,
1.9424241,2.321418,
2.098433,.169511,
2.0300982,.116506,
2.2071323,.846178,
1.509379,.556885,
1.6918855,.194929,
2.0052998,.092082,
1.5248286,.474081,
2.0630548,.38004,
2.6658292,6.05117,
1.9881198,4.489109,
1.5636873,.094716,
2.2667608,2.355968,
1.8465635,.128715,
1.1914099,.083347,
2.0402031,.523552,
2.6174786,2.348247,
1.2356244,.44442,
1.1058426,.218844,
1.7981168,1.609367,
1.5481163,.57146,
1.2709481,.161875,
1.1208539,.168474,
1.5126401,.195163,
2.2237782,1.242974,
1.6913186,.143638,
1.7471434,.413691,
1.5248972,.179804,
2.0886438,.44399,
2.2399209,1.260029,
1.4109373,4.44189,"Riverside, CA"
1.8424193,.313388,
1.931527,.212778,
2.0008669,1.083393,
1.6688774,.342411,
1.8188214,.14929,
1.6849526,.096063,
2.1117549,2.244397,
1.7480072,.195012,
1.6329745,.192418,
1.4158552,.151948,
1.5470229,.127431,
2.0478432,2.806207,
1.5656543,.404026,
1.9097391,.431344,
1.7710708,.389922,
2.5123765,1.15334,
1.8521632,.118182,
2.0958388,2.328652,
2.6406565,3.263431,
3.3447022,4.59406,
4.6398387,1.952872,San Jose
1.8746165,.279083,
1.7088174,.271804,
1.9178408,.148164,
2.2224638,.440668,
1.9830103,.500292,
1.8524998,.372708,
1.5975603,.559679,
3.1027689,3.671478,
1.6453397,.144755,
1.0740423,.098236,
1.843102,.11529,
1.3747876,.123534,
2.1177814,.445142,
1.5232548,.127448,
1.8911546,.168806,
2.3188412,.248351,
1.6772987,.319226,
1.8319461,.321418,
1.8184806,.540953,
1.7065344,.211567,
1.6719668,.6291,
1.5017742,.452297,
1.2759839,.136554,
2.2265475,.158742,
1.6336784,.119766,
1.5226507,.715597,
1.599775,.107919,
1.999658,.661478,
1.5348965,.375751,
1.8181096,2.915582,
1.562103,.17148,
1.5296623,.149235,
1.6371568,.11435,
2.0322826,.607456,
1.6056798,.233758,
2.8867602,.371537,
1.5228118,1.004516,
2.714035,.969224,
1.9604787,.237761,
3.0223312,.218842,
1.5432451,.296615,
1.4496052,.143317,
1.7690417,.431131,
2.116488,.09863,
1.6052607,.157389,
2.1298041,1.716624,
1.4357876,.458198,
1.8621774,.26043,
1.7531521,.063829,
1.6125683,.187516,
2.938134,6.033737,
1.9196749,.169993,
2.5814936,.119103,
1.9838051,.13578,
1.5088241,.121336,
1.4004983,.114392,
2.1684544,.145205,
2.0173702,.641076,
2.0974038,.151536,
1.5933449,.116508,
1.8681134,.272548,
1.7471955,.133403,
1.7351257,.655015,
1.6025262,.930473,
1.4228396,.247687,
1.503475,.440755,
1.549083,.5532629999999999,
1.4465784,.169813,
1.2780764,.203247,
