Rmort,Rpriv,year
,,1949
,,1950
,,1951
,.023002004,1952
,.027676316,1953
,.033618756,1954
,.034835335,1955
,.038128853,1956
,.045559376,1957
,.048754074,1958
,.056508191,1959
,.064414836,1960
,.063374422,1961
,.067133702,1962
,.067311712,1963
,.069934815,1964
,.070709303,1965
,.074165016,1966
,.079691224,1967
,.089327611,1968
,.092614591,1969
,.1048578,1970
.063505165,.09756998,1971
.060480803,.093547598,1972
.05440193,.089713089,1973
.065013677,.093627065,1974
.078100845,.10205337,1975
.073010556,.097665444,1976
.062571645,.087098233,1977
.055525653,.084934019,1978
.062951334,.087077662,1979
.090011917,.10433237,1980
.11699115,.12193447,1981
.1496526,.15188903,1982
.11045229,.12274458,1983
.10717537,.13096455,1984
.098805875,.13299519,1985
.074972503,.11579143,1986
.062014725,.10437991,1987
.075009443,.12351328,1988
.082377598,.12369671,1989
.078621902,.12000164,1990
.082393155,.1247374,1991
.072682269,.1200603,1992
.071260445,.11920755,1993
.060096771,.10909968,1994
.079683512,.12391473,1995
.057623081,.107417,1996
.065538637,.11456493,1997
.059086137,.10810166,1998
.056525368,.10600307,1999
.0697475,.12258316,2000
.058924492,.11825057,2001
.060121045,.11463398,2002
.046536122,.11254344,2003
.044060938,.10492389,2004
.038914617,.098522477,2005
.04224661,.093292035,2006
.047311723,.093054421,2007
.05699541,.09514419,2008
.057555709,.099280261,2009
.065110676,.10651033,2010
.064520262,.10715785,2011
.054771066,.093671747,2012
.046506047,.091386013,2013
.054929368,.096502163,2014
.043551624,.085599609,2015
.043253768,.091156751,2016
