ln_gdp_pc,year
3.3507714,1949
3.4174771,1950
3.4778469,1951
3.5007801,1952
3.5300975,1953
3.5067413,1954
3.5580416,1955
3.5614614,1956
3.5643127,1957
3.5402763,1958
3.5903482,1959
3.5954711,1960
3.6044223,1961
3.6485085,1962
3.676718,1963
3.71895,1964
3.7693737,1965
3.8217285,1966
3.8378925,1967
3.875901,1968
3.8968019,1969
3.8871214,1970
3.9069121,1971
3.9474757,1972
3.9928436,1973
3.9782228,1974
3.966475,1975
4.0092559,1976
4.0444093,1977
4.087718,1978
4.1078243,1979
4.0936813,1980
4.1087713,1981
4.0810156,1982
4.1167684,1983
4.1778793,1984
4.2098355,1985
4.2347898,1986
4.2598662,1987
4.2916956,1988
4.3183169,1989
4.3257704,1990
4.3113894,1991
4.3327174,1992
4.3468809,1993
4.3742619,1994
4.3889289,1995
4.4143019,1996
4.445858,1997
4.478056,1998
4.5130653,1999
4.5425801,2000
4.5425534,2001
4.5502944,2002
4.569272,2003
4.597528,2004
4.6227875,2005
4.6414385,2006
4.6504412,2007
4.6396818,2008
4.6051702,2009
4.6222062,2010
4.6301861,2011
4.6451659,2012
4.6563697,2013
4.673183,2014
4.6941814,2015
4.7024608,2016
