gdppc,year
30.006199,1950
31.5753,1951
32.189758,1952
33.221912,1953
32.465626,1954
34.351917,1955
34.502792,1956
34.616604,1957
33.797367,1958
35.681873,1959
36.036274,1960
36.355618,1961
38.007519,1962
39.09222,1963
40.822609,1964
43.039463,1965
45.353661,1966
46.023109,1967
47.81255,1968
48.877056,1969
48.337475,1970
49.518188,1971
51.755417,1972
54.29443,1973
52.825127,1974
52.065044,1975
54.644043,1976
56.605869,1977
59.304176,1978
60.392632,1979
58.759277,1980
59.877712,1981
58.138138,1982
60.583706,1983
64.902054,1984
67.068367,1985
68.612312,1986
70.076439,1987
72.265556,1988
74.145645,1989
74.525604,1990
73.698021,1991
75.664841,1992
77.235817,1993
79.804703,1994
81.124283,1995
83.487068,1996
86.573769,1997
89.88871,1998
93.106262,1999
95.699364,2000
95.681488,2001
96.469666,2002
98.233231,2003
101.1433,2004
103.42432,2005
105.18803,2006
105.92626,2007
103.27501,2008
100,2009
101.54828,2010
102.18795,2011
103.91514,2012
105.07214,2013
107.06861,2014
